,drugbank_id,name,pubchem_substance_id,drug_groups,prediction_class_dl_model_fp_prediction,prediction_class_dl_model_fp_prediction_proba,prediction_class_mlp_fp_prediction,prediction_class_mlp_fp_prediction_proba,prediction_class_xgb_fp_prediction,prediction_class_xgb_fp_prediction_proba,prediction_class_rfc_fp_prediction,prediction_class_rfc_fp_prediction_proba,prediction_class_svm_fp_prediction,prediction_class_svm_fp_prediction_proba,first_seg,gpcr_binding_encoded
165024,DB02445,2-Deoxy-2-Amino Glucitol-6-Phosphate,46505743.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
257850,DB02960,1-Carboxyethylaminomethyl-4-Aminomethylbenzene,46507673.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
288792,DB03145,4-Methyl-5-Hydroxyethylthiazole Phosphate,46508962.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
350676,DB03433,{3-[(3-Hydroxy-2-Methyl-5-Phosphonooxymethyl-Pyridin-4-Ylmethyl)-Amino]-2-Methyl-Propyl}-Phosphonic Acid,46508946.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
433188,DB04087,Open Form of 2'-Deoxy-Ribofuranose-5'-Phosphate,46508398.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
453816,DB04214,4-Nitrophenyl Phosphate,46506564.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
464130,DB04277,Fructose -6-Phosphate,46508328.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
560394,DB06804,Nonoxynol-9,99443296.0,approved; withdrawn,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
598212,DB07221,"(2,2-DIPHOSPHONOETHYL)(DODECYL)DIMETHYLPHOSPHONIUM",99443692.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
608526,DB07263,"[{2-bromo-4-[(2R)-3-oxo-2,3-diphenylpropyl]phenyl}(difluoro)methyl]phosphonic acid",99443734.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
